"word","sentiment","palabra"
"appalled","negative","horrorizado"
"appalling","negative","pésimo"
"appallingly","negative","horriblemente"
"appeal","positive","apelación"
"appealing","positive","atractivo"
"applaud","positive","aplaudir"
"appreciable","positive","apreciable"
"appreciate","positive","apreciar"
"appreciated","positive","apreciado"
"appreciates","positive","aprecia"
"appreciative","positive","agradecido"
"appreciatively","positive","apreciativamente"
"apprehension","negative","detención"
"apprehensions","negative","aprehensiones"
"apprehensive","negative","aprensivo"
"apprehensively","negative","aprensivamente"
"appropriate","positive","apropiado"
"approval","positive","aprobación"
"approve","positive","aprobar"
"arbitrary","negative","arbitrario"
"arcane","negative","arcano"
"archaic","negative","arcaico"
"ardent","positive","ardiente"
"ardently","positive","ardientemente"
"ardor","positive","ardor"
"arduous","negative","arduo"
"arduously","negative","arduamente"
"argumentative","negative","discutidor"
"arrogance","negative","arrogancia"
"arrogant","negative","arrogante"
"arrogantly","negative","con arrogancia"
"articulate","positive","articular"
"ashamed","negative","avergonzado"
"asinine","negative","asnal"
"asininely","negative","asombrosamente"
"asinininity","negative","estupidez"
"askance","negative","de reojo"
"asperse","negative","difamar"
"aspersion","negative","aspersión"
"aspersions","negative","aspersiones"
"aspiration","positive","aspiración"
"aspirations","positive","aspiraciones"
"aspire","positive","aspirar"
"assail","negative","atacar"
"assassin","negative","asesino"
"assassinate","negative","asesinar"
"assault","negative","asalto"
"assult","negative","asalto"
"assurance","positive","garantía"
"assurances","positive","garantías"
"assure","positive","asegurar"
"assuredly","positive","ciertamente"
"assuring","positive","asegurando"
"astonish","positive","asombrar"
"astonished","positive","asombrado"
"astonishing","positive","asombroso"
"astonishingly","positive","asombrosamente"
"astonishment","positive","asombro"
"astound","positive","asombrar"
"astounded","positive","asombrado"
"astounding","positive","asombroso"
"astoundingly","positive","pasmosamente"
"astray","negative","por mal camino"
"astutely","positive","astutamente"
"asunder","negative","en pedazos"
"atrocious","negative","atroz"
"atrocities","negative","atrocidades"
"atrocity","negative","atrocidad"
"atrophy","negative","atrofia"
"attack","negative","ataque"
"attacks","negative","ataques"
"attentive","positive","atento"
"attraction","positive","atracción"
"attractive","positive","atractivo"
"attractively","positive","atractivo"
"attune","positive","armonizar"
"audacious","negative","audaz"
"audaciously","negative","audazmente"
"audaciousness","negative","audacia"
"audacity","negative","audacia"
"audible","positive","audible"
"audibly","positive","de modo audible"
"audiciously","negative","audiblemente"
"auspicious","positive","propicio"
"austere","negative","austero"
"authentic","positive","auténtico"
"authoritarian","negative","autoritario"
"authoritative","positive","autoritario"
"autocrat","negative","autócrata"
"autocratic","negative","autocrático"
"autonomous","positive","autónomo"
"available","positive","disponible"
"avalanche","negative","avalancha"
"avarice","negative","avaricia"
"avaricious","negative","avaro"
"avariciously","negative","avariciosamente"
"avenge","negative","vengar"
"aver","positive","afirmar"
"averse","negative","contrario"
"aversion","negative","aversión"
"avid","positive","ávido"
"avidly","positive","con avidez"
"award","positive","premio"
"awarded","positive","galardonado"
"awards","positive","premios"
"awe","positive","temor"
"awed","positive","asombrado"
"aweful","negative","espantoso"
"awesome","positive","increíble"
"awesomely","positive","asombrosamente"
"awesomeness","positive","genialidad"
"awestruck","positive","atemorizado"
"awful","negative","horrible"
"awfully","negative","muy"
"awfulness","negative","horror"
"awkward","negative","torpe"
"awkwardness","negative","torpeza"
"awsome","positive","impresionante"
"ax","negative","hacha"
"babble","negative","balbucear"
