"word","sentiment","translatedContent"
"adversary","anger","adversario"
"adversary","negative","adversario"
"adverse","anger","adverso"
"adverse","disgust","adverso"
"adverse","fear","adverso"
"adverse","negative","adverso"
"adverse","sadness","adverso"
"adversity","anger","adversidad"
"adversity","fear","adversidad"
"adversity","negative","adversidad"
"adversity","sadness","adversidad"
"advice","trust","Consejo"
"advisable","positive","aconsejable"
"advisable","trust","aconsejable"
"advise","positive","asesorar"
"advise","trust","asesorar"
"advised","trust","aconsejado"
"adviser","positive","asesor"
"adviser","trust","asesor"
"advocacy","anger","Abogacía"
"advocacy","anticipation","Abogacía"
"advocacy","joy","Abogacía"
"advocacy","positive","Abogacía"
"advocacy","trust","Abogacía"
"advocate","trust","abogado"
"aesthetic","positive","estético"
"aesthetics","joy","estética"
"aesthetics","positive","estética"
"affable","positive","afable"
"affection","joy","afecto"
"affection","positive","afecto"
"affection","trust","afecto"
"affiliated","positive","asociado"
"affirm","positive","afirmar"
"affirm","trust","afirmar"
"affirmation","positive","afirmación"
"affirmative","positive","afirmativo"
"affirmatively","positive","afirmativamente"
"affirmatively","trust","afirmativamente"
"afflict","fear","afligir"
"afflict","negative","afligir"
"afflict","sadness","afligir"
"afflicted","negative","afligido"
"affliction","disgust","aflicción"
"affliction","fear","aflicción"
"affliction","negative","aflicción"
"affliction","sadness","aflicción"
"affluence","joy","afluencia"
"affluence","positive","afluencia"
"affluent","positive","afluente"
"afford","positive","permitirse"
"affront","anger","afrenta"
"affront","disgust","afrenta"
"affront","fear","afrenta"
"affront","negative","afrenta"
"affront","sadness","afrenta"
"affront","surprise","afrenta"
"afraid","fear","temeroso"
"afraid","negative","temeroso"
"aftermath","anger","secuelas"
"aftermath","disgust","secuelas"
"aftermath","fear","secuelas"
"aftermath","negative","secuelas"
"aftermath","sadness","secuelas"
"aftertaste","negative","regusto"
"aga","fear","aga"
"aga","positive","aga"
"aga","trust","aga"
"aggravated","anger","agravado"
"aggravated","negative","agravado"
"aggravating","anger","agravante"
"aggravating","negative","agravante"
"aggravating","sadness","agravante"
"aggravation","anger","agravación"
"aggravation","disgust","agravación"
"aggravation","negative","agravación"
"aggression","anger","agresión"
"aggression","fear","agresión"
"aggression","negative","agresión"
"aggressive","anger","agresivo"
"aggressive","fear","agresivo"
"aggressive","negative","agresivo"
"aggressor","anger","agresor"
"aggressor","fear","agresor"
"aggressor","negative","agresor"
"aghast","disgust","espantado"
"aghast","fear","espantado"
"aghast","negative","espantado"
"aghast","surprise","espantado"
"agile","positive","ágil"
"agility","positive","agilidad"
"agitated","anger","agitado"
"agitated","negative","agitado"
"agitation","anger","agitación"
"agitation","negative","agitación"
"agonizing","fear","agonizante"
"agonizing","negative","agonizante"
"agony","anger","agonía"
"agony","fear","agonía"
"agony","negative","agonía"
"agony","sadness","agonía"
"agree","positive","de acuerdo"
"agreeable","positive","agradable"
"agreeable","trust","agradable"
"agreed","positive","convenido"
"agreed","trust","convenido"
"agreeing","positive","de acuerdo"
"agreeing","trust","de acuerdo"
"agreement","positive","acuerdo"
"agreement","trust","acuerdo"
"agriculture","positive","agricultura"
"aground","negative","encallado"
"ahead","positive","adelante"
"aid","positive","ayuda"
"aiding","positive","ayudando"
"ail","negative","afligir"
"ail","sadness","afligir"
"ailing","fear","enfermo"
"ailing","negative","enfermo"
"ailing","sadness","enfermo"
"aimless","negative","sin objetivo"
"airport","anticipation","aeropuerto"
"airs","disgust","aires"
"airs","negative","aires"
"akin","trust","parecido"
"alabaster","positive","alabastro"
"alarm","fear","alarma"
"alarm","negative","alarma"
"alarm","surprise","alarma"
"alarming","fear","alarmante"
"alarming","negative","alarmante"
"alarming","surprise","alarmante"
"alb","trust","alba"
"alcoholism","anger","alcoholismo"
"alcoholism","disgust","alcoholismo"
"alcoholism","fear","alcoholismo"
"alcoholism","negative","alcoholismo"
"alcoholism","sadness","alcoholismo"
"alertness","anticipation","vigilancia"
"alertness","fear","vigilancia"
"alertness","positive","vigilancia"
"alertness","surprise","vigilancia"
"alerts","anticipation","alertas"
"alerts","fear","alertas"
"alerts","surprise","alertas"
"alien","disgust","extraterrestre"
"alien","fear","extraterrestre"
"alien","negative","extraterrestre"
"alienate","anger","enajenar"
"alienate","disgust","enajenar"
"alienate","negative","enajenar"
"alienated","negative","enajenado"
"alienated","sadness","enajenado"
"alienation","anger","alienación"
"alienation","disgust","alienación"
"alienation","fear","alienación"
"alienation","negative","alienación"
"alienation","sadness","alienación"
"alimentation","positive","alimentación"
"alimony","negative","pensión alimenticia"
"alive","anticipation","viva"
"alive","joy","viva"
"alive","positive","viva"
"alive","trust","viva"
"allay","positive","aliviar"
"allegation","anger","alegación"
"allegation","negative","alegación"
"allege","negative","alegar"
"allegiance","positive","lealtad"
"allegiance","trust","lealtad"
"allegro","positive","alegro"
"alleviate","positive","aliviar"
"alleviation","positive","alivio"
"alliance","trust","Alianza"
"allied","positive","aliado"
"allied","trust","aliado"
"allowable","positive","admisible"
"allure","anticipation","seducir"
"allure","joy","seducir"
"allure","positive","seducir"
"allure","surprise","seducir"
"alluring","positive","seductor"
"ally","positive","aliado"
"ally","trust","aliado"
"almighty","positive","todopoderoso"
"aloha","anticipation","aloha"
"aloha","joy","aloha"
"aloha","positive","aloha"
"aloof","negative","a distancia"
"altercation","anger","altercado"
"altercation","negative","altercado"
"amaze","surprise","asombro"
"amazingly","joy","Asombrosamente"
"amazingly","positive","Asombrosamente"
"amazingly","surprise","Asombrosamente"
"ambassador","positive","embajador"
"ambassador","trust","embajador"
"ambiguous","negative","ambiguo"
"ambition","anticipation","ambición"
"ambition","joy","ambición"
"ambition","positive","ambición"
"ambition","trust","ambición"
"ambulance","fear","ambulancia"
"ambulance","trust","ambulancia"
"ambush","anger","emboscada"
"ambush","fear","emboscada"
"ambush","negative","emboscada"
"ambush","surprise","emboscada"
"ameliorate","positive","mejorar"
"amen","joy","Amén"
"amen","positive","Amén"
"amen","trust","Amén"
"amenable","positive","dócil"
"amend","positive","enmendar"
"amends","positive","compensación"
"amenity","positive","amenidad"
"amiable","positive","amable"
"amicable","joy","amistoso"
"amicable","positive","amistoso"
"ammonia","disgust","amoníaco"
"amnesia","negative","amnesia"
"amnesty","joy","amnistía"
"amnesty","positive","amnistía"
"amortization","trust","amortización"
"amour","anticipation","aventura amorosa"
"amour","joy","aventura amorosa"
"amour","positive","aventura amorosa"
"amour","trust","aventura amorosa"
"amphetamines","disgust","anfetaminas"
"amphetamines","negative","anfetaminas"
"amuse","joy","entretener"
"amuse","positive","entretener"
"amused","joy","divertido"
"amused","positive","divertido"
"amusement","joy","diversión"
"amusement","positive","diversión"
"amusing","joy","divertido"
"amusing","positive","divertido"
"anaconda","disgust","anaconda"
"anaconda","fear","anaconda"
"anaconda","negative","anaconda"
"anal","negative","anal"
"analyst","anticipation","analista"
"analyst","positive","analista"
"analyst","trust","analista"
"anarchism","anger","anarquismo"
"anarchism","fear","anarquismo"
"anarchism","negative","anarquismo"
"anarchist","anger","anarquista"
"anarchist","fear","anarquista"
"anarchist","negative","anarquista"
"anarchy","anger","anarquía"
"anarchy","fear","anarquía"
"anarchy","negative","anarquía"
"anathema","anger","anatema"
"anathema","disgust","anatema"
"anathema","fear","anatema"
"anathema","negative","anatema"
"anathema","sadness","anatema"
"ancestral","trust","ancestral"
"anchor","positive","ancla"
"anchorage","positive","anclaje"
"anchorage","sadness","anclaje"
"ancient","negative","antiguo"
"angel","anticipation","ángel"
"angel","joy","ángel"
"angel","positive","ángel"
"angel","surprise","ángel"
"angel","trust","ángel"
"angelic","joy","angelical"
"angelic","positive","angelical"
"angelic","trust","angelical"
"anger","anger","enfado"
"anger","negative","enfado"
"angina","fear","angina de pecho"
"angina","negative","angina de pecho"
"angling","anticipation","pesca con caña"
"angling","negative","pesca con caña"
"angry","anger","enojado"
"angry","disgust","enojado"
"angry","negative","enojado"
"anguish","anger","angustia"
"anguish","fear","angustia"
"anguish","negative","angustia"
"anguish","sadness","angustia"
"animate","positive","animar"
"animated","joy","animado"
"animated","positive","animado"
"animosity","anger","animosidad"
"animosity","disgust","animosidad"
"animosity","fear","animosidad"
"animosity","negative","animosidad"
"animosity","sadness","animosidad"
"animus","anger","ánimo"
"animus","negative","ánimo"
"annihilate","anger","aniquilar"
"annihilate","fear","aniquilar"
"annihilate","negative","aniquilar"
"annihilated","anger","aniquilado"
"annihilated","fear","aniquilado"
"annihilated","negative","aniquilado"
"annihilated","sadness","aniquilado"
"annihilation","anger","aniquilación"
"annihilation","fear","aniquilación"
"annihilation","negative","aniquilación"
"annihilation","sadness","aniquilación"
"announcement","anticipation","anuncio"
"annoy","anger","molestar"
"annoy","disgust","molestar"
"annoy","negative","molestar"
"annoyance","anger","molestia"
"annoyance","disgust","molestia"
"annoyance","negative","molestia"
"annoying","anger","molesto"
"annoying","negative","molesto"
"annul","negative","anular"
"annulment","negative","anulación"
"annulment","sadness","anulación"
"anomaly","fear","anomalía"
"anomaly","negative","anomalía"
"anomaly","surprise","anomalía"
"anonymous","negative","anónimo"
"answerable","trust","responsable"
"antagonism","anger","antagonismo"
"antagonism","negative","antagonismo"
"antagonist","anger","antagonista"
"antagonist","negative","antagonista"
"antagonistic","anger","antagonista"
"antagonistic","disgust","antagonista"
"antagonistic","negative","antagonista"
"anthrax","disgust","ántrax"
"anthrax","fear","ántrax"
"anthrax","negative","ántrax"
"anthrax","sadness","ántrax"
"antibiotics","positive","antibióticos"
"antichrist","anger","antecristo"
"antichrist","disgust","antecristo"
"antichrist","fear","antecristo"
"antichrist","negative","antecristo"
"anticipation","anticipation","anticipación"
"anticipatory","anticipation","anticipado"
"antidote","anticipation","antídoto"
"antidote","positive","antídoto"
"antidote","trust","antídoto"
"antifungal","positive","antifúngico"
"antifungal","trust","antifúngico"
"antipathy","anger","antipatía"
"antipathy","disgust","antipatía"
"antipathy","negative","antipatía"
"antiquated","negative","anticuado"
"antique","positive","antiguo"
"antiseptic","positive","antiséptico"
"antiseptic","trust","antiséptico"
"antisocial","anger","antisocial"
"antisocial","disgust","antisocial"
"antisocial","fear","antisocial"
"antisocial","negative","antisocial"
"antisocial","sadness","antisocial"
"antithesis","anger","antítesis"
"antithesis","negative","antítesis"
"anxiety","anger","ansiedad"
"anxiety","anticipation","ansiedad"
"anxiety","fear","ansiedad"
"anxiety","negative","ansiedad"
"anxiety","sadness","ansiedad"
"anxious","anticipation","ansioso"
"anxious","fear","ansioso"
"anxious","negative","ansioso"
"apache","fear","apache"
"apache","negative","apache"
"apathetic","negative","apático"
"apathetic","sadness","apático"
"apathy","negative","apatía"
"apathy","sadness","apatía"
"aphid","disgust","áfido"
"aphid","negative","áfido"
"aplomb","positive","aplomo"
"apologetic","positive","apologético"
"apologetic","trust","apologético"
"apologize","positive","pedir disculpas"
"apologize","sadness","pedir disculpas"
"apologize","trust","pedir disculpas"
"apology","positive","disculpa"
"apostle","positive","apóstol"
"apostle","trust","apóstol"
"apostolic","trust","apostólico"
"appalling","disgust","pésimo"
"appalling","fear","pésimo"
"appalling","negative","pésimo"
"apparition","fear","aparición"
"apparition","surprise","aparición"
"appeal","anticipation","apelación"
"appendicitis","fear","apendicitis"
"appendicitis","negative","apendicitis"
"appendicitis","sadness","apendicitis"
"applause","joy","aplausos"
"applause","positive","aplausos"
"applause","surprise","aplausos"
"applause","trust","aplausos"
"applicant","anticipation","solicitante"
"appreciation","joy","apreciación"
"appreciation","positive","apreciación"
"appreciation","trust","apreciación"
"apprehend","fear","aprehender"
"apprehension","fear","detención"
"apprehension","negative","detención"
"apprehensive","anticipation","aprensivo"
"apprehensive","fear","aprensivo"
"apprehensive","negative","aprensivo"
"apprentice","trust","aprendiz"
"approaching","anticipation","que se acerca"
"approbation","positive","aprobación"
"approbation","trust","aprobación"
"appropriation","negative","apropiación"
"approval","positive","aprobación"
"approve","joy","aprobar"
"approve","positive","aprobar"
"approve","trust","aprobar"
"approving","positive","aprobatorio"
"apt","positive","apto"
"aptitude","positive","aptitud"
"arbiter","trust","árbitro"
"arbitration","anticipation","arbitraje"
"arbitrator","trust","árbitro"
"archaeology","anticipation","arqueología"
"archaeology","positive","arqueología"
"archaic","negative","arcaico"
"architecture","trust","arquitectura"
"ardent","anticipation","ardiente"
"ardent","joy","ardiente"
"ardent","positive","ardiente"
"ardor","positive","ardor"
"arduous","negative","arduo"
"argue","anger","discutir"
"argue","negative","discutir"
"argument","anger","argumento"
"argument","negative","argumento"
"argumentation","anger","argumentación"
"argumentative","negative","discutidor"
"arguments","anger","argumentos"
"arid","negative","árido"
"arid","sadness","árido"
"aristocracy","positive","aristocracia"
"aristocratic","positive","aristocrático"
"armament","anger","armamento"
"armament","fear","armamento"
"armaments","fear","armamento"
"armaments","negative","armamento"
"armed","anger","armado"
"armed","fear","armado"
"armed","negative","armado"
"armed","positive","armado"
"armor","fear","armadura"
"armor","positive","armadura"
"armor","trust","armadura"
"armored","fear","blindado"
"armory","trust","arsenal"
"aroma","positive","aroma"
"arouse","anticipation","despertar"
"arouse","positive","despertar"
"arraignment","anger","acusación"
"arraignment","fear","acusación"
"arraignment","negative","acusación"
"arraignment","sadness","acusación"
"array","positive","formación"
"arrears","negative","atrasos"
"arrest","negative","arrestar"
"arrival","anticipation","llegada"
"arrive","anticipation","llegar"
"arrogance","negative","arrogancia"
"arrogant","anger","arrogante"
"arrogant","disgust","arrogante"
"arrogant","negative","arrogante"
"arsenic","disgust","arsénico"
"arsenic","fear","arsénico"
"arsenic","negative","arsénico"
"arsenic","sadness","arsénico"
"arson","anger","incendio provocado"
"arson","fear","incendio provocado"
"arson","negative","incendio provocado"
"art","anticipation","Arte"
"art","joy","Arte"
"art","positive","Arte"
"art","sadness","Arte"
"art","surprise","Arte"
"articulate","positive","articular"
"articulation","positive","articulación"
"artillery","fear","artillería"
"artillery","negative","artillería"
"artisan","positive","artesano"
"artiste","positive","artista"
"artistic","positive","artístico"
"ascendancy","positive","ascendencia"
"ascent","positive","ascenso"
"ash","negative","ceniza"
"ashamed","disgust","avergonzado"
"ashamed","negative","avergonzado"
"ashamed","sadness","avergonzado"
"ashes","negative","despojos mortales"
"ashes","sadness","despojos mortales"
"asp","fear","áspid"
"aspiration","anticipation","aspiración"
"aspiration","joy","aspiración"
"aspiration","positive","aspiración"
"aspiration","surprise","aspiración"
"aspiration","trust","aspiración"
"aspire","anticipation","aspirar"
"aspire","joy","aspirar"
"aspire","positive","aspirar"
"aspiring","anticipation","ambicioso"
"aspiring","joy","ambicioso"
"aspiring","positive","ambicioso"
"aspiring","trust","ambicioso"
"ass","negative","culo"
"assail","anger","atacar"
"assail","fear","atacar"
"assail","negative","atacar"
"assail","surprise","atacar"
"assailant","anger","agresor"
"assailant","fear","agresor"
"assailant","negative","agresor"
"assailant","sadness","agresor"
"assassin","anger","asesino"
"assassin","fear","asesino"
"assassin","negative","asesino"
"assassin","sadness","asesino"
"assassinate","anger","asesinar"
"assassinate","fear","asesinar"
"assassinate","negative","asesinar"
"assassination","anger","asesinato"
"assassination","fear","asesinato"
"assassination","negative","asesinato"
"assassination","sadness","asesinato"
"assault","anger","asalto"
"assault","fear","asalto"
"assault","negative","asalto"
"assembly","positive","montaje"
"assembly","trust","montaje"
"assent","positive","asentir"
"asserting","positive","afirmando"
"asserting","trust","afirmando"
"assessment","surprise","evaluación"
"assessment","trust","evaluación"
"assessor","trust","asesor"
"assets","positive","bienes"
"asshole","anger","Estúpido"
"asshole","disgust","Estúpido"
"asshole","negative","Estúpido"
"assignee","trust","cesionario"
"assist","positive","ayudar"
"assist","trust","ayudar"
"assistance","positive","asistencia"
"associate","positive","asociar"
"associate","trust","asociar"
"association","trust","asociación"
"assuage","positive","calmar"
"assurance","positive","garantía"
"assurance","trust","garantía"
"assure","trust","asegurar"
"assured","positive","seguro"
"assured","trust","seguro"
"assuredly","trust","ciertamente"
"astonishingly","positive","asombrosamente"
"astonishingly","surprise","asombrosamente"
"astonishment","joy","asombro"
"astonishment","positive","asombro"
"astonishment","surprise","asombro"
"astray","fear","por mal camino"
"astray","negative","por mal camino"
"astringent","negative","astringente"
"astrologer","anticipation","astrólogo"
"astrologer","positive","astrólogo"
"astronaut","positive","astronauta"
"astronomer","anticipation","astrónomo"
"astronomer","positive","astrónomo"
"astute","positive","astuto"
"asylum","fear","asilo"
"asylum","negative","asilo"
"asymmetry","disgust","asimetría"
"atheism","negative","ateísmo"
"atherosclerosis","fear","aterosclerosis"
"atherosclerosis","negative","aterosclerosis"
"atherosclerosis","sadness","aterosclerosis"
"athlete","positive","atleta"
"athletic","positive","atlético"
"atom","positive","átomo"
"atone","anticipation","expiar"
"atone","joy","expiar"
"atone","positive","expiar"
"atone","trust","expiar"
"atonement","positive","expiación"
"atrocious","anger","atroz"
"atrocious","disgust","atroz"
"atrocious","negative","atroz"
"atrocity","anger","atrocidad"
"atrocity","disgust","atrocidad"
"atrocity","fear","atrocidad"
"atrocity","negative","atrocidad"
"atrocity","sadness","atrocidad"
"atrophy","disgust","atrofia"
"atrophy","fear","atrofia"
"atrophy","negative","atrofia"
"atrophy","sadness","atrofia"
"attachment","positive","adjunto archivo"
"attack","anger","ataque"
"attack","fear","ataque"
"attack","negative","ataque"
"attacking","anger","agresor"
"attacking","disgust","agresor"
"attacking","fear","agresor"
"attacking","negative","agresor"
"attacking","sadness","agresor"
"attacking","surprise","agresor"
"attainable","anticipation","alcanzable"
"attainable","positive","alcanzable"
"attainment","positive","logro"
"attempt","anticipation","intento"
"attendance","anticipation","asistencia"
"attendant","positive","asistente"
"attendant","trust","asistente"
"attention","positive","atención"
"attentive","positive","atento"
"attentive","trust","atento"
"attenuated","negative","atenuado"
"attenuation","negative","atenuación"
"attenuation","sadness","atenuación"
"attest","positive","dar fe"
"attest","trust","dar fe"
"attestation","trust","atestación"
"attorney","anger","abogado"
"attorney","fear","abogado"
"attorney","positive","abogado"
"attorney","trust","abogado"
"attraction","positive","atracción"
"attractiveness","positive","atractivo"
"auction","anticipation","subasta"
"audacity","negative","audacia"
"audience","anticipation","audiencia"
"auditor","fear","auditor"
"auditor","trust","auditor"
"augment","positive","aumentar"
"august","positive","agosto"
"aunt","positive","tía"
"aunt","trust","tía"
"aura","positive","aura"
"auspicious","anticipation","propicio"
"auspicious","joy","propicio"
"auspicious","positive","propicio"
"austere","fear","austero"
"austere","negative","austero"
"austere","sadness","austero"
"austerity","negative","austeridad"
"authentic","joy","auténtico"
"authentic","positive","auténtico"
"authentic","trust","auténtico"
"authenticate","trust","autenticar"
"authentication","trust","autenticación"
"authenticity","positive","autenticidad"
"authenticity","trust","autenticidad"
"author","positive","autor"
"author","trust","autor"
"authoritative","positive","autoritario"
"authoritative","trust","autoritario"
"authority","positive","autoridad"
"authority","trust","autoridad"
"authorization","positive","autorización"
"authorization","trust","autorización"
"authorize","trust","autorizar"
"authorized","positive","autorizado"
"autocratic","negative","autocrático"
"automatic","trust","automático"
"autopsy","disgust","autopsia"
"autopsy","fear","autopsia"
"autopsy","negative","autopsia"
"autopsy","sadness","autopsia"
"avalanche","fear","avalancha"
"avalanche","negative","avalancha"
"avalanche","sadness","avalancha"
"avalanche","surprise","avalancha"
"avarice","anger","avaricia"
"avarice","disgust","avaricia"
"avarice","negative","avaricia"
"avatar","positive","avatar"
"avenger","anger","vengador"
"avenger","negative","vengador"
"averse","anger","contrario"
"averse","disgust","contrario"
"averse","fear","contrario"
"averse","negative","contrario"
"aversion","anger","aversión"
"aversion","disgust","aversión"
"aversion","fear","aversión"
"aversion","negative","aversión"
"avoid","fear","evitar"
"avoid","negative","evitar"
"avoidance","fear","evitación"
"avoidance","negative","evitación"
"avoiding","fear","evitando"
"await","anticipation","esperar"
"award","anticipation","premio"
"award","joy","premio"
"award","positive","premio"
"award","surprise","premio"
"award","trust","premio"
"awful","anger","horrible"
"awful","disgust","horrible"
"awful","fear","horrible"
"awful","negative","horrible"
"awful","sadness","horrible"
"awkwardness","disgust","torpeza"
"awkwardness","negative","torpeza"
"awry","negative","torcido"
"axiom","trust","axioma"
"axiomatic","trust","axiomático"
"ay","positive","sí"
"aye","positive","sí"
"babble","negative","balbucear"
"babbling","negative","balbuceo"
"baboon","disgust","babuino"
"baboon","negative","babuino"
"baby","joy","bebé"
"baby","positive","bebé"
"babysitter","trust","niñera"
"baccalaureate","positive","bachillerato"
"backbone","anger","columna vertebral"
"backbone","positive","columna vertebral"
"backbone","trust","columna vertebral"
"backer","trust","partidario"
"backward","negative","hacia atrás"
"backwards","disgust","hacia atrás"
"backwards","negative","hacia atrás"
"backwater","negative","remanso"
"backwater","sadness","remanso"
"bacteria","disgust","bacterias"
"bacteria","fear","bacterias"
"bacteria","negative","bacterias"
"bacteria","sadness","bacterias"
"bacterium","disgust","bacteria"
"bacterium","fear","bacteria"
"bacterium","negative","bacteria"
"bad","anger","malo"
"bad","disgust","malo"
"bad","fear","malo"
"bad","negative","malo"
"bad","sadness","malo"
"badge","trust","Insignia"
"badger","anger","tejón"
